Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,0,0,0,1,0,0,0
0.282208950,1,0,0,0,1,0,0,1
0.323368300,1,1,0,0,1,0,0,1
0.323368350,0,1,0,0,1,0,0,1
0.323394500,0,1,0,0,0,0,1,0
0.323394700,0,1,0,0,0,0,1,1
0.323394750,0,1,0,0,0,0,0,1
0.323395100,0,1,0,0,0,1,1,0
0.323395900,0,1,0,0,1,1,1,0
0.323400400,1,0,0,0,1,0,0,0
0.689852200,1,0,0,0,0,1,0,0
0.690805100,1,0,0,0,1,0,1,0
0.690806800,1,0,0,0,0,0,0,1
0.690830250,1,0,0,0,1,1,0,0
0.823387000,0,1,0,0,1,0,0,1
0.823413350,0,1,0,0,0,0,1,0
0.823413600,0,1,0,0,0,0,0,1
0.823413950,0,1,0,0,0,1,1,0
0.823414950,0,1,0,0,1,1,1,0
0.823419250,1,0,0,0,1,0,0,0
1.282223150,1,0,0,0,1,0,0,1
1.323391900,1,1,0,0,1,0,0,1
1.323391950,0,1,0,0,1,0,0,1
1.323418150,0,1,0,0,0,0,1,0
1.323418350,0,1,0,0,0,0,0,1
1.323418750,0,1,0,0,0,1,1,0
1.323419600,0,1,0,0,1,1,1,0
1.323423750,1,0,0,0,1,0,0,0
1.689869250,1,0,0,0,1,1,0,0
1.689869300,1,0,0,0,0,1,0,0
1.690809550,1,0,0,0,1,1,1,0
1.690809600,1,0,0,0,1,0,1,0
1.690811250,1,0,0,0,1,0,1,1
1.690811300,1,0,0,0,0,0,0,1
1.690834850,1,0,0,0,1,1,0,0
1.823405050,0,1,0,0,1,0,0,1
1.823431900,0,1,0,0,1,0,1,1
1.823431950,0,1,0,0,0,0,1,0
1.823432150,0,1,0,0,0,0,0,1
1.823432500,0,1,0,0,0,1,1,1
1.823432550,0,1,0,0,0,1,1,0
1.823433750,0,1,0,0,1,1,1,0
1.823438100,1,1,0,0,1,1,1,0
1.823438150,1,0,0,0,1,0,0,0
2.282237150,1,0,0,0,1,0,0,1
2.323417500,0,1,0,0,1,0,0,1
2.323443500,0,1,0,0,0,0,1,0
2.323443750,0,1,0,0,0,0,0,1
2.323444100,0,1,0,0,0,1,1,0
2.323444950,0,1,0,0,1,1,1,0
2.323449300,1,0,0,0,1,0,0,0
2.689876450,1,0,0,0,0,1,0,0
2.690814200,1,0,0,0,1,0,1,0
2.690815850,1,0,0,0,0,0,0,1
2.690839550,1,0,0,0,1,1,0,0
2.823431600,0,1,0,0,1,0,0,1
2.823458100,0,1,0,0,1,0,1,1
2.823458150,0,1,0,0,0,0,1,0
2.823458500,0,1,0,0,0,0,0,1
2.823458900,0,1,0,0,0,1,1,0
2.823460050,0,1,0,0,1,1,1,0
2.823464300,1,0,0,0,1,0,0,0
3.282255400,1,0,0,0,1,0,0,1
3.323442650,0,1,0,0,1,0,0,1
3.323468700,0,1,0,0,0,0,1,0
3.323468950,0,1,0,0,0,0,0,1
3.323469350,0,1,0,0,0,1,1,0
3.323470200,0,1,0,0,1,1,1,0
3.323475050,1,0,0,0,1,0,0,0
3.689874050,1,0,0,0,0,1,0,0
3.690818600,1,0,0,0,1,0,1,0
3.690820300,1,0,0,0,1,0,1,1
3.690820350,1,0,0,0,0,0,0,1
3.690844250,1,0,0,0,1,1,0,0
3.823449350,0,1,0,0,1,0,0,1
3.823476350,0,1,0,0,0,0,1,0
3.823476600,0,1,0,0,0,0,0,1
3.823476950,0,1,0,0,0,1,1,0
3.823477800,0,1,0,0,1,1,1,0
3.823482150,1,0,0,0,1,0,0,0
4.282272250,1,0,0,0,1,0,0,1
4.323458450,0,1,0,0,1,0,0,1
4.323485200,0,1,0,0,0,0,1,0
4.323485400,0,1,0,0,0,0,1,1
4.323485450,0,1,0,0,0,0,0,1
