Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,1,1,1,1,1,1,1
0.043080640,0,0,0,0,0,0,0,0
3.887110080,0,1,0,0,1,0,0,1
4.387109600,1,0,0,0,1,0,0,1
4.404993120,0,1,0,0,1,0,0,1
5.387134240,1,0,0,0,1,0,0,1
5.408267200,0,1,0,0,1,0,0,1
6.387150080,1,0,0,0,1,0,0,1
6.408282880,0,1,0,0,1,0,0,1
7.387157280,1,0,0,0,1,0,0,1
7.408316160,0,1,0,0,1,0,0,1
8.387173440,1,1,0,0,1,0,0,1
8.387173600,1,0,0,0,1,0,0,1
8.408262880,0,1,0,0,1,0,0,1
9.387188960,1,0,0,0,1,0,0,1
9.408365120,0,1,0,0,1,0,0,1
10.387127520,1,0,0,0,1,0,0,1
10.408303360,0,1,0,0,1,0,0,1
11.387220800,1,0,0,0,1,0,0,1
11.408422880,0,1,0,0,1,0,0,1
12.387314720,1,0,0,0,1,0,0,1
12.408439040,0,1,0,0,1,0,0,1
13.387321600,1,0,0,0,1,0,0,1
13.408549600,0,1,0,0,1,0,0,1
14.387337760,1,0,0,0,1,0,0,1
14.408574080,0,1,0,0,1,0,0,1
15.387361920,1,0,0,0,1,0,0,1
15.408607360,0,1,0,0,1,0,0,1
16.329571840,1,0,0,0,0,1,0,0
16.330263840,1,0,0,0,1,0,1,0
16.330465600,1,0,0,0,0,0,0,1
16.330487520,1,0,0,0,1,1,0,0
16.387368480,1,0,0,0,1,0,0,1
16.408640160,0,1,0,0,1,0,0,1
16.913780000,0,1,0,0,0,0,1,0
16.913780160,0,1,0,0,0,0,1,1
16.913780320,0,1,0,0,0,0,0,1
16.913780480,0,1,0,0,0,1,1,1
16.913780640,0,1,0,0,0,1,1,0
16.920407200,0,1,0,0,1,1,1,0
16.926026560,1,0,0,0,1,0,0,0
17.329598080,1,0,0,0,0,1,0,0
17.330278400,1,0,0,0,1,0,1,0
17.330481440,1,0,0,0,0,0,0,1
17.330504320,1,0,0,0,1,1,0,0
17.387367360,1,0,0,0,1,0,0,1
17.408578400,0,1,0,0,1,0,0,1
17.413698880,0,1,0,0,0,0,1,0
17.413699040,0,1,0,0,0,0,0,1
17.413699360,0,1,0,0,0,1,1,0
17.420328960,0,1,0,0,1,1,1,0
17.425947040,1,0,0,0,1,0,0,0
17.908586720,0,1,0,0,1,0,0,1
17.913710240,0,1,0,0,0,0,1,0
17.913710400,0,1,0,0,0,0,0,1
17.913710720,0,1,0,0,0,1,1,1
17.913710880,0,1,0,0,0,1,1,0
17.920336320,0,1,0,0,1,1,1,0
17.925955520,1,0,0,0,1,0,0,0
18.329594880,1,0,0,0,0,1,0,0
18.330284640,1,0,0,0,1,0,1,0
18.330488480,1,0,0,0,0,0,0,1
18.330510720,1,0,0,0,1,1,0,0
18.387382720,1,0,0,0,1,0,0,1
18.408689280,0,1,0,0,1,0,0,1
18.413810560,0,1,0,0,0,0,1,0
18.413810720,0,1,0,0,0,0,0,1
18.413811040,0,1,0,0,0,1,1,0
18.420439360,0,1,0,0,1,1,1,0
18.426057440,1,0,0,0,1,0,0,0
18.908697760,0,1,0,0,1,0,0,1
18.913820800,0,1,0,0,0,0,1,0
18.913821120,0,1,0,0,0,0,0,1
18.913821440,0,1,0,0,0,1,1,0
18.920447520,0,1,0,0,1,1,1,0
18.926066560,1,0,0,0,1,0,0,0
19.329605120,1,0,0,0,0,1,0,0
19.330290080,1,0,0,0,1,0,1,0
19.330487200,1,0,0,0,0,0,0,1
19.330509760,1,0,0,0,1,1,0,0
19.387407360,1,0,0,0,1,0,0,1
19.408713440,0,1,0,0,1,0,0,1
19.413833920,0,1,0,0,0,0,1,0
19.413834080,0,1,0,0,0,0,0,1
19.413834400,0,1,0,0,0,1,1,0
19.420463680,0,1,0,0,1,1,1,0
19.426082080,1,0,0,0,1,0,0,0
19.908722240,0,1,0,0,1,0,0,1
19.913845120,0,1,0,0,0,0,1,0
19.913845280,0,1,0,0,0,0,1,1
19.913845440,0,1,0,0,0,0,0,1
19.913845760,0,1,0,0,0,1,1,0
19.920471520,0,1,0,0,1,1,1,0
19.926090560,1,0,0,0,1,0,0,0
20.329540960,1,0,0,0,0,1,0,0
20.330227200,1,0,0,0,1,0,1,0
20.330424960,1,0,0,0,0,0,0,1
20.330447200,1,0,0,0,1,1,0,0
20.387414240,1,0,0,0,1,0,0,1
20.408720800,0,1,0,0,1,0,0,1
20.413840800,0,1,0,0,1,0,1,1
20.413840960,0,1,0,0,0,0,1,1
20.413841120,0,1,0,0,0,0,0,1
20.413841280,0,1,0,0,0,1,1,0
20.420470880,0,1,0,0,1,1,1,0
20.426088960,1,0,0,0,1,0,0,0
20.908651520,0,1,0,0,1,0,0,1
20.913774400,0,1,0,0,0,0,1,0
20.913774560,0,1,0,0,0,0,0,1
20.913774880,0,1,0,0,0,1,1,0
20.920400960,0,1,0,0,1,1,1,0
20.926020320,1,0,0,0,1,0,0,0
21.329636480,1,0,0,0,0,1,0,0
21.330319200,1,0,0,0,1,0,1,0
21.330518560,1,0,0,0,1,0,1,1
21.330518720,1,0,0,0,0,0,0,1
21.330540960,1,0,0,0,1,1,0,0
21.387439040,1,0,0,0,1,0,0,1
21.408649920,0,1,0,0,1,0,0,1
21.413770240,0,1,0,0,0,0,1,0
21.413770400,0,1,0,0,0,0,0,1
21.413770560,0,1,0,0,0,1,1,0
21.420400320,0,1,0,0,1,1,1,0
21.426018560,1,0,0,0,1,0,0,0
21.908753280,0,1,0,0,1,0,0,1
21.913876640,0,1,0,0,0,0,1,0
21.913876960,0,1,0,0,0,0,0,1
21.913877280,0,1,0,0,0,1,1,0
21.920503200,0,1,0,0,1,1,1,0
21.926122720,1,0,0,0,1,0,0,0
22.329633760,1,0,0,0,0,1,0,0
22.330316320,1,0,0,0,1,0,1,0
22.330517120,1,0,0,0,0,0,0,1
22.330540160,1,0,0,0,1,1,0,0
22.387454240,1,0,0,0,1,0,0,1
22.408752320,0,1,0,0,1,0,0,1
22.413872640,0,1,0,0,0,0,1,0
22.413872800,0,1,0,0,0,0,0,1
22.413873120,0,1,0,0,0,1,1,0
22.420502400,0,1,0,0,1,1,1,0
22.426121120,1,0,0,0,1,0,0,0
22.908769280,0,1,0,0,1,0,0,1
22.913892800,0,1,0,0,0,0,1,0
22.913892960,0,1,0,0,0,0,0,1
22.913893280,0,1,0,0,0,1,1,0
22.920519200,0,1,0,0,1,1,1,0
22.926138400,1,0,0,0,1,0,0,0
23.329721120,1,0,0,0,0,1,0,0
23.330408480,1,0,0,0,1,0,1,0
23.330610400,1,0,0,0,0,0,0,1
23.330632960,1,0,0,0,1,1,0,0
23.387470240,1,0,0,0,1,0,0,1
23.408785120,0,1,0,0,1,0,0,1
23.413905920,0,1,0,0,0,0,1,0
23.413906080,0,1,0,0,0,0,0,1
23.413906240,0,1,0,0,0,1,1,0
23.420535200,0,1,0,0,1,1,1,0
23.426153920,1,0,0,0,1,0,0,0
23.908793760,0,1,0,0,1,0,0,1
23.913917280,0,1,0,0,0,0,1,0
23.913917440,0,1,0,0,0,0,0,1
23.913917760,0,1,0,0,0,1,1,1
23.913917920,0,1,0,0,0,1,1,0
23.920543200,0,1,0,0,1,1,1,0
23.926162400,1,0,0,0,1,0,0,0
24.329739040,1,0,0,0,0,1,0,0
24.330431680,1,0,0,0,1,0,1,0
24.330635040,1,0,0,0,0,0,0,1
24.330657920,1,0,0,0,1,1,0,0
24.387468640,1,0,0,0,1,0,0,1
24.408714560,0,1,0,0,1,0,0,1
24.413834720,0,1,0,0,0,0,1,0
24.413834880,0,1,0,0,0,0,0,1
24.413835200,0,1,0,0,0,1,1,0
24.420464640,0,1,0,0,1,1,1,0
24.426083040,1,0,0,0,1,0,0,0
24.908826560,0,1,0,0,1,0,0,1
24.913949920,0,1,0,0,0,0,1,0
24.913950080,0,1,0,0,0,0,1,1
24.913950240,0,1,0,0,0,0,0,1
24.913950400,0,1,0,0,0,1,1,1
24.913950560,0,1,0,0,0,1,1,0
24.920576160,0,1,0,0,1,1,1,0
24.926195680,1,0,0,0,1,0,0,0
25.329846080,1,0,0,0,0,1,0,0
25.330532640,1,0,0,0,1,0,1,0
25.330823520,1,0,0,0,0,0,0,1
25.330846560,1,0,0,0,1,1,0,0
25.387475520,1,0,0,0,1,0,0,1
25.408738720,0,1,0,0,1,0,0,1
25.413859040,0,1,0,0,0,0,1,0
25.413859200,0,1,0,0,0,0,0,1
25.413859520,0,1,0,0,0,1,1,0
25.420488960,0,1,0,0,1,1,1,0
25.426107520,1,0,0,0,1,0,0,0
25.908833920,0,1,0,0,1,0,0,1
25.913956800,0,1,0,0,0,0,1,0
25.913956960,0,1,0,0,0,0,0,1
25.913957280,0,1,0,0,0,1,1,0
25.920669920,0,1,0,0,1,1,1,0
25.926288960,1,0,0,0,1,0,0,0
26.329854240,1,0,0,0,0,1,0,0
26.330537920,1,0,0,0,1,0,1,0
26.330821760,1,0,0,0,0,0,0,1
26.330844480,1,0,0,0,1,1,0,0
26.387491680,1,0,0,0,1,0,0,1
26.408841120,0,1,0,0,1,0,0,1
26.413961280,0,1,0,0,0,0,1,0
26.413961440,0,1,0,0,0,0,0,1
26.413961760,0,1,0,0,0,1,1,0
26.420677440,0,1,0,0,1,1,1,0
26.426296000,1,0,0,0,1,0,0,0
26.908866560,0,1,0,0,1,0,0,1
26.913989440,0,1,0,0,0,0,1,0
26.913989600,0,1,0,0,0,0,0,1
26.913990080,0,1,0,0,0,1,1,0
26.920702560,0,1,0,0,1,1,1,0
26.926321760,1,1,0,0,1,1,1,0
26.926321920,1,0,0,0,1,0,0,0
27.329862880,1,0,0,0,0,1,0,0
27.330552480,1,0,0,0,1,0,1,0
27.330838240,1,0,0,0,0,0,0,1
27.330860160,1,0,0,0,1,1,0,0
27.387334400,1,0,0,0,1,0,0,1
27.408873760,0,1,0,0,1,0,0,1
27.413995040,0,1,0,0,0,0,1,0
27.413995200,0,1,0,0,0,0,0,1
27.413995360,0,1,0,0,0,1,1,0
27.420710720,0,1,0,0,1,1,1,0
27.426328640,1,0,0,0,1,0,0,0
27.908891200,1,1,0,0,1,0,0,1
27.908891360,0,1,0,0,1,0,0,1
27.914013120,0,1,0,0,0,0,1,0
27.914013440,0,1,0,0,0,0,0,1
27.914013760,0,1,0,0,0,1,1,0
27.920727040,0,1,0,0,1,1,1,0
27.926346720,1,0,0,0,1,0,0,0
28.329967200,1,0,0,0,0,1,0,0
28.330653440,1,0,0,0,1,0,1,0
28.331025920,1,0,0,0,0,0,0,1
28.331048800,1,0,0,0,1,1,0,0
28.387523200,1,0,0,0,1,0,0,1
28.408889440,0,1,0,0,1,0,0,1
28.414009920,0,1,0,0,0,0,1,0
28.414010080,0,1,0,0,0,0,0,1
28.414010400,0,1,0,0,0,1,1,0
28.420726080,0,1,0,0,1,1,1,0
28.426344160,1,1,0,0,1,1,1,0
28.426344320,1,0,0,0,1,0,0,0
28.908906560,0,1,0,0,1,0,0,1
28.914030240,0,1,0,0,0,0,1,0
28.914030560,0,1,0,0,0,0,0,1
28.914030880,0,1,0,0,0,1,1,0
28.920829440,0,1,0,0,1,1,1,0
28.926448320,1,0,0,0,1,0,0,0
29.329886400,1,0,0,0,0,1,0,0
29.330572640,1,0,0,0,1,0,1,0
29.330946720,1,0,0,0,0,0,0,1
29.330968960,1,0,0,0,1,1,0,0
29.387529760,1,0,0,0,1,0,0,1
29.408905280,0,1,0,0,1,0,0,1
29.414026400,0,1,0,0,0,0,1,0
29.414026560,0,1,0,0,0,0,0,1
29.414026880,0,1,0,0,0,1,1,0
29.420828320,0,1,0,0,1,1,1,0
29.426446560,1,0,0,0,1,0,0,0
