Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.000000000,1,0,0,1,0,1,0,1,1,1
0.091427550,1,0,0,0,1,0,1,1,1,1
0.091427600,1,0,0,0,1,0,1,0,1,1
0.091428300,1,0,0,0,1,0,1,1,1,1
0.169155750,1,0,0,1,1,0,1,1,1,1
0.169155800,0,0,0,1,0,0,1,0,1,1
0.169156800,0,0,0,0,1,0,0,0,1,1
0.169180650,0,0,0,0,1,0,0,1,1,1
0.169181650,0,0,0,0,0,0,1,0,1,1
0.169181850,0,0,0,0,0,0,1,1,1,1
0.169182200,0,0,0,0,1,1,0,0,1,1
0.169183000,0,0,0,1,1,1,0,0,1,1
0.169187500,0,0,0,1,0,0,0,0,1,1
0.169203400,0,0,0,1,0,0,0,0,0,1
0.169212000,0,0,0,1,0,0,0,0,1,1
0.169220650,0,0,0,1,0,0,0,0,0,1
0.169281150,0,0,0,1,0,0,0,0,1,1
0.169289800,0,0,0,1,0,0,0,0,0,1
0.169298400,0,0,0,1,0,0,0,0,1,1
0.169307050,0,0,0,1,0,0,0,0,0,1
0.169324350,0,0,0,1,0,0,0,0,1,1
0.169333000,0,0,0,1,0,0,0,0,0,1
0.169367550,0,0,0,1,0,0,0,0,1,1
0.169376200,0,0,0,1,0,0,0,0,0,1
0.169384800,0,0,0,1,0,0,0,0,1,1
0.169393450,0,0,0,1,0,0,0,0,0,1
0.169453950,0,0,0,1,0,0,0,0,1,1
0.169462600,0,0,0,1,0,0,0,0,0,1
0.169479850,0,0,0,1,0,0,0,0,1,1
0.169488500,0,0,0,1,0,0,0,0,0,1
0.169497150,0,0,0,1,0,0,0,0,1,1
0.169514400,0,0,0,1,0,0,0,0,0,1
0.169531700,0,0,0,1,0,0,0,0,1,1
0.169549000,0,0,0,1,0,0,0,0,0,1
0.169557600,0,0,0,1,0,0,0,0,1,1
0.169566250,0,0,0,1,0,0,0,0,0,1
0.169626750,0,0,0,1,0,0,0,0,1,1
0.169635400,0,0,0,1,0,0,0,0,0,1
0.169644000,0,0,0,1,0,0,0,0,1,1
0.169661300,0,0,0,1,0,0,0,0,0,1
0.169678550,0,0,0,1,0,0,0,0,1,1
0.169687200,0,0,0,1,0,0,0,0,0,1
0.169695850,0,0,0,1,0,0,0,0,1,1
0.169721800,0,0,0,1,0,0,0,0,0,1
0.169730400,0,0,0,1,0,0,0,0,1,1
0.169739050,0,0,0,1,0,0,0,0,0,1
0.169747700,0,0,0,1,0,0,0,0,1,1
0.169756350,0,0,0,1,0,0,0,0,0,1
0.169764950,0,0,0,1,0,0,0,0,1,1
0.169782250,0,0,0,1,0,0,0,0,0,1
0.169790900,0,0,0,1,0,0,0,0,1,1
0.169808200,0,0,0,1,0,0,0,0,0,1
0.169816800,0,0,0,1,0,0,0,0,1,1
0.169825450,0,0,0,1,0,0,0,0,0,1
0.169842750,0,0,0,1,0,0,0,0,1,1
0.169851400,0,0,0,1,0,0,0,0,0,1
0.169885950,0,0,0,1,0,0,0,0,1,1
0.169894600,0,0,0,1,0,0,0,0,0,1
0.169903200,0,0,0,1,0,0,0,0,1,1
0.169911850,0,0,0,1,0,0,0,0,0,1
0.169946400,0,0,0,1,0,0,0,0,1,1
0.169955050,0,0,0,1,0,0,0,0,0,1
0.169963700,0,0,0,1,0,0,0,0,1,1
0.169981000,0,0,0,1,0,0,0,0,0,1
0.169989600,0,0,0,1,0,0,0,0,1,1
0.170006900,0,0,0,1,0,0,0,0,0,1
0.170015550,0,0,0,1,0,0,0,0,1,1
0.170067400,0,0,0,1,0,0,0,0,0,1
0.170068000,0,0,0,1,0,0,0,1,0,1
0.170068300,0,0,0,1,1,1,0,1,0,1
0.170068500,0,0,0,0,1,1,0,1,0,1
0.170068650,0,0,0,1,0,0,1,1,0,1
0.170145150,0,0,0,1,0,0,1,1,1,1
0.171637150,1,0,0,1,0,0,1,0,1,1
0.171637900,1,0,0,1,0,0,1,1,1,1
0.402496800,1,0,0,1,0,0,1,1,1,0
0.402505450,1,0,0,1,0,0,1,1,1,1
0.402514100,1,0,0,1,0,0,1,1,1,0
0.402574550,1,0,0,1,0,0,1,1,1,1
0.402583200,1,0,0,1,0,0,1,1,1,0
0.402591850,1,0,0,1,0,0,1,1,1,1
0.402596000,0,0,0,0,1,0,0,0,1,1
0.402600500,0,0,0,0,1,0,0,0,1,0
0.402617750,0,0,0,0,1,0,0,0,1,1
0.402626400,0,0,0,0,1,0,0,0,1,0
0.402660950,0,0,0,0,1,0,0,0,1,1
0.402669600,0,0,0,0,1,0,0,0,1,0
0.402686900,0,0,0,0,1,0,0,0,1,1
0.402695550,0,0,0,0,1,0,0,0,1,0
0.402747350,0,0,0,0,1,0,0,0,1,1
0.402756000,0,0,0,0,1,0,0,0,1,0
0.402773300,0,0,0,0,1,0,0,0,1,1
0.402781950,0,0,0,0,1,0,0,0,1,0
0.402790550,0,0,0,0,1,0,0,0,1,1
0.402807850,0,0,0,0,1,0,0,0,1,0
0.402825150,0,0,0,0,1,0,0,0,1,1
0.402842400,0,0,0,0,1,0,0,0,1,0
0.402851050,0,0,0,0,1,0,0,0,1,1
0.402859700,0,0,0,0,1,0,0,0,1,0
0.402920150,0,0,0,0,1,0,0,0,1,1
0.402928800,0,0,0,0,1,0,0,0,1,0
0.402937450,0,0,0,0,1,0,0,0,1,1
0.402954750,0,0,0,0,1,0,0,0,1,0
0.402972000,0,0,0,0,1,0,0,0,1,1
0.402980650,0,0,0,0,1,0,0,0,1,0
0.402989300,0,0,0,0,1,0,0,0,1,1
0.403015200,0,0,0,0,1,0,0,0,1,0
0.403023850,0,0,0,0,1,0,0,0,1,1
0.403032500,0,0,0,0,1,0,0,0,1,0
0.403041150,0,0,0,0,1,0,0,0,1,1
0.403049800,0,0,0,0,1,0,0,0,1,0
0.403058400,0,0,0,0,1,0,0,0,1,1
0.403075700,0,0,0,0,1,0,0,0,1,0
0.403084350,0,0,0,0,1,0,0,0,1,1
0.403101600,0,0,0,0,1,0,0,0,1,0
0.403110250,0,0,0,0,1,0,0,0,1,1
0.403118900,0,0,0,0,1,0,0,0,1,0
0.403136150,0,0,0,0,1,0,0,0,1,1
0.403144800,0,0,0,0,1,0,0,0,1,0
0.403179350,0,0,0,0,1,0,0,0,1,1
0.403188000,0,0,0,0,1,0,0,0,1,0
0.403205300,0,0,0,0,1,0,0,0,1,1
0.403213950,0,0,0,0,1,0,0,0,1,0
0.403231200,0,0,0,0,1,0,0,0,1,1
0.403239850,0,0,0,0,1,0,0,0,1,0
0.403257150,0,0,0,0,1,0,0,0,1,1
0.403274400,0,0,0,0,1,0,0,0,1,0
0.403283050,0,0,0,0,1,0,0,0,1,1
0.403300350,0,0,0,0,1,0,0,0,1,0
0.403308950,0,0,0,0,1,0,0,0,1,1
0.403360800,0,0,0,0,1,0,0,0,1,0
0.403438550,0,0,0,0,1,0,0,0,1,1
0.403458500,0,0,0,0,1,0,0,1,1,1
0.403458800,0,0,0,1,1,1,0,1,1,1
0.403458850,1,0,0,1,0,1,0,0,1,1
0.403459550,1,0,0,0,0,0,1,0,1,1
0.403459750,1,0,0,0,1,0,0,0,1,1
0.403482250,1,0,0,0,1,0,0,1,1,1
0.403482650,1,0,0,0,0,0,1,1,1,1
0.403482950,1,0,0,1,0,1,0,1,1,1
0.491445700,0,0,0,0,1,0,1,0,1,1
0.491469100,0,0,0,0,1,0,1,1,1,1
0.492375350,1,0,0,0,1,0,1,0,1,1
0.498405350,1,0,0,0,1,0,1,1,1,1
0.671655350,1,0,0,1,0,0,1,0,1,1
0.671656700,1,0,0,1,0,0,1,1,1,1
0.902504350,1,0,0,1,0,0,1,1,1,0
0.902513000,1,0,0,1,0,0,1,1,1,1
0.902521650,1,0,0,1,0,0,1,1,1,0
0.902582100,1,0,0,1,0,0,1,1,1,1
0.902590750,1,0,0,1,0,0,1,1,1,0
0.902599400,1,0,0,1,0,0,1,1,1,1
0.902608050,1,0,0,1,0,0,1,1,1,0
0.902611500,0,0,0,0,1,0,0,0,1,0
0.902625300,0,0,0,0,1,0,0,0,1,1
0.902633950,0,0,0,0,1,0,0,0,1,0
0.902668500,0,0,0,0,1,0,0,0,1,1
0.902677150,0,0,0,0,1,0,0,0,1,0
0.902694450,0,0,0,0,1,0,0,0,1,1
0.902703100,0,0,0,0,1,0,0,0,1,0
0.902754900,0,0,0,0,1,0,0,0,1,1
0.902763550,0,0,0,0,1,0,0,0,1,0
0.902780850,0,0,0,0,1,0,0,0,1,1
0.902789500,0,0,0,0,1,0,0,0,1,0
0.902798100,0,0,0,0,1,0,0,0,1,1
