Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.000000000,1,0,0,1,0,0,1,1,1,1
0.425064750,0,0,0,1,0,0,1,0,1,1
0.425066450,0,0,0,1,1,0,1,0,1,1
0.425066500,0,0,0,0,1,0,0,0,1,1
0.425089350,0,0,0,0,1,0,0,1,1,1
0.425090300,0,0,0,0,0,0,1,0,1,1
0.425090600,0,0,0,0,0,0,1,1,1,1
0.425090850,0,0,0,0,1,1,0,0,1,1
0.425091750,0,0,0,1,1,1,0,0,1,1
0.425095900,0,0,0,1,0,0,0,0,1,1
0.425112600,0,0,0,1,0,0,0,0,1,0
0.425121200,0,0,0,1,0,0,0,0,1,1
0.425129850,0,0,0,1,0,0,0,0,1,0
0.425190350,0,0,0,1,0,0,0,0,1,1
0.425199000,0,0,0,1,0,0,0,0,1,0
0.425233550,0,0,0,1,0,0,0,0,1,1
0.425242200,0,0,0,1,0,0,0,0,1,0
0.425276750,0,0,0,1,0,0,0,0,1,1
0.425285400,0,0,0,1,0,0,0,0,1,0
0.425294000,0,0,0,1,0,0,0,0,1,1
0.425302650,0,0,0,1,0,0,0,0,1,0
0.425363150,0,0,0,1,0,0,0,0,1,1
0.425371800,0,0,0,1,0,0,0,0,1,0
0.425389050,0,0,0,1,0,0,0,0,1,1
0.425397700,0,0,0,1,0,0,0,0,1,0
0.425406350,0,0,0,1,0,0,0,0,1,1
0.425415000,0,0,0,1,0,0,0,0,1,0
0.425432250,0,0,0,1,0,0,0,0,1,1
0.425440900,0,0,0,1,0,0,0,0,1,0
0.425449550,0,0,0,1,0,0,0,0,1,1
0.425458200,0,0,0,1,0,0,0,0,1,0
0.425466800,0,0,0,1,0,0,0,0,1,1
0.425475450,0,0,0,1,0,0,0,0,1,0
0.425484100,0,0,0,1,0,0,0,0,1,1
0.425492750,0,0,0,1,0,0,0,0,1,0
0.425501400,0,0,0,1,0,0,0,0,1,1
0.425510050,0,0,0,1,0,0,0,0,1,0
0.425518650,0,0,0,1,0,0,0,0,1,1
0.425544600,0,0,0,1,0,0,0,0,1,0
0.425570500,0,0,0,1,0,0,0,0,1,1
0.425579150,0,0,0,1,0,0,0,0,1,0
0.425605050,0,0,0,1,0,0,0,0,1,1
0.425631000,0,0,0,1,0,0,0,0,1,0
0.425656900,0,0,0,1,0,0,0,0,1,1
0.425665550,0,0,0,1,0,0,0,0,1,0
0.425708750,0,0,0,1,0,0,0,0,1,1
0.425717400,0,0,0,1,0,0,0,0,1,0
0.425726000,0,0,0,1,0,0,0,0,1,1
0.425751950,0,0,0,1,0,0,0,0,1,0
0.425777850,0,0,0,1,0,0,0,0,1,1
0.425803800,0,0,0,1,0,0,0,0,1,0
0.425821050,0,0,0,1,0,0,0,0,1,1
0.425838350,0,0,0,1,0,0,0,0,1,0
0.425847000,0,0,0,1,0,0,0,0,1,1
0.425855650,0,0,0,1,0,0,0,0,1,0
0.425872900,0,0,0,1,0,0,0,0,1,1
